Constituent ID,Gift Amount 17-18,Gift Count 17-18,Gift Amount 16-17,Gift Count 16-17,Gift Amount 15-16,Gift Count 15-16,Gift Amount 14-15,Gift Count 14-15,Gift Amount 13-14,Gift Count 13-14,Gift Amount 12-13,Gift Count 12-13,Gift Amount 11-12,Gift Count 11-12,Gift Amount 10-11,Gift Count 10-11,Gift Amount 09-10,Gift Count 09-10,Gift Amount 08-09,Gift Count 08-09,Lifetime Giving,Appeals in 17-18,Appeals in 16-17,Appeals in 15-16,Appeals in 14-15,Appeals in 13-14,Appeals in 12-13,Appeals in 11-12,Appeals in 10-11,Appeals in 09-10,Appeals in 08-09,Zip Code,Board Member,Business,Captial Campaign Steering Committee,Client,Congregation Group,Congregation,CoC Member,Donor,EECM Staff,Family Foundation,Former CoC Member,Friend,Government,H Event Invitee,Hospital,Keeper,Major Donor,Mid-level Donor,Polititian,Prospect,Vendor,Volunteer,Young Professional,Congregation Affiliation,Email Domain,Spouse?,Primary Phone Area Code
17639,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,"$1,200.00 ",1,$0.00 ,0,$0.00 ,0,$0.00 ,0,"$1,200.00 ",1,0,0,0,0,0,0,0,0,0,15206,,,,,,,,Donor,,,,,,,,,,,,,,,,,@gmail.com,,301
23456,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15213,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@pitt.edu,,301
22286,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15232,,,,,,,,,,,,,,,,,,,,Prospect,,,,,@gmail.com,,301
23181,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,20816,,,,,,,,Donor,,,,,,,,,,,,,,,,,@nas.edu,,301
17322,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,0,0,0,0,0,0,0,0,0,20816,,,,,,,,Donor,,,,,,,,,,,,,,,,,@aol.com,y,301
11767,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$25.00 ,1,$0.00 ,0,$0.00 ,0,$25.00 ,0,0,1,0,0,0,0,0,0,0,20816,,,,,,,,Donor,,,,,,,,,,,,,,,,,@aol.com,y,301
12676,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$25.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$25.00 ,1,0,3,0,0,0,0,0,0,0,20878,,,,,,,,Donor,,,,,,,,,,,,,,,,,@aol.com,,301
23583,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15206,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@gmail.com,,302
13004,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,2,0,0,0,0,0,0,0,15232,,,,,,,,Donor,,,,,,,,,,,,,,,,,,,303
9045,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$200.00 ,2,$200.00 ,2,$200.00 ,2,$100.00 ,2,$50.00 ,1,$150.00 ,2,"$1,150.00 ",1,0,4,0,0,0,5,3,3,2,80020,,,,,,,,Donor,,,,,,,,,,,,,,,,,@adams12.org,,303
18410,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$50.00 ,1,$10.00 ,1,$10.00 ,1,$0.00 ,0,$20.00 ,1,$642.49 ,1,0,3,0,0,0,4,2,3,3,80303,,,,,,,,Donor,,,,,,,,,,,,,,,,,,y,303
